Graph 1 Index,Graph 2 Index,Isomorphic?
0,1,True
0,2,True
0,3,True
0,4,True
0,5,True
0,6,True
0,7,True
0,8,True
0,9,True
0,10,True
0,11,True
0,12,True
0,13,True
0,14,True
0,15,True
0,16,True
0,17,True
0,18,True
0,19,True
0,20,True
0,21,True
0,22,True
0,23,True
0,24,True
0,25,True
0,26,True
0,27,True
0,28,True
0,29,True
0,30,True
0,31,True
0,32,True
0,33,True
0,34,True
0,35,True
0,36,True
0,37,True
0,38,True
0,39,True
0,40,True
0,41,True
0,42,True
0,43,True
0,44,True
0,45,True
0,46,True
0,47,True
0,48,True
0,49,True
0,50,True
0,51,True
0,52,True
0,53,True
0,54,True
0,55,True
0,56,True
0,57,True
0,58,True
0,59,True
0,60,True
0,61,True
0,62,True
0,63,True
0,64,True
0,65,True
0,66,True
0,67,True
0,68,True
0,69,True
0,70,True
0,71,True
0,72,True
0,73,True
0,74,True
0,75,True
0,76,True
0,77,True
0,78,True
0,79,True
0,80,True
0,81,True
0,82,True
0,83,True
0,84,True
0,85,True
0,86,True
0,87,True
0,88,True
0,89,True
0,90,True
0,91,True
0,92,True
0,93,True
0,94,True
0,95,True
0,96,True
0,97,True
0,98,True
0,99,True
0,100,True
0,101,True
0,102,True
0,103,True
0,104,True
0,105,True
0,106,True
0,107,True
0,108,True
0,109,True
0,110,True
0,111,True
0,112,True
0,113,True
0,114,True
0,115,True
0,116,True
0,117,True
0,118,True
0,119,True
0,120,True
0,121,True
0,122,True
0,123,True
0,124,True
0,125,True
0,126,True
0,127,True
0,128,True
0,129,True
0,130,True
0,131,True
0,132,True
0,133,True
0,134,True
0,135,True
0,136,True
0,137,True
0,138,True
0,139,True
0,140,True
0,141,True
0,142,True
0,143,True
0,144,True
0,145,True
0,146,True
0,147,True
0,148,True
0,149,True
0,150,True
0,151,True
0,152,True
0,153,True
0,154,True
0,155,True
0,156,True
0,157,True
0,158,True
0,159,True
0,160,True
0,161,True
0,162,True
0,163,True
0,164,True
0,165,True
0,166,True
0,167,True
0,168,True
0,169,True
0,170,True
0,171,True
0,172,True
0,173,True
0,174,True
0,175,True
0,176,True
0,177,True
0,178,True
0,179,True
1,2,True
1,3,True
1,4,True
1,5,True
1,6,True
1,7,True
1,8,True
1,9,True
1,10,True
1,11,True
1,12,True
1,13,True
1,14,True
1,15,True
1,16,True
1,17,True
1,18,True
1,19,True
1,20,True
1,21,True
1,22,True
1,23,True
1,24,True
1,25,True
1,26,True
1,27,True
1,28,True
1,29,True
1,30,True
1,31,True
1,32,True
1,33,True
1,34,True
1,35,True
1,36,True
1,37,True
1,38,True
1,39,True
1,40,True
1,41,True
1,42,True
1,43,True
1,44,True
1,45,True
1,46,True
1,47,True
1,48,True
1,49,True
1,50,True
1,51,True
1,52,True
1,53,True
1,54,True
1,55,True
1,56,True
1,57,True
1,58,True
1,59,True
1,60,True
1,61,True
1,62,True
1,63,True
1,64,True
1,65,True
1,66,True
1,67,True
1,68,True
1,69,True
1,70,True
1,71,True
1,72,True
1,73,True
1,74,True
1,75,True
1,76,True
1,77,True
1,78,True
1,79,True
1,80,True
1,81,True
1,82,True
1,83,True
1,84,True
1,85,True
1,86,True
1,87,True
1,88,True
1,89,True
1,90,True
1,91,True
1,92,True
1,93,True
1,94,True
1,95,True
1,96,True
1,97,True
1,98,True
1,99,True
1,100,True
1,101,True
1,102,True
1,103,True
1,104,True
1,105,True
1,106,True
1,107,True
1,108,True
1,109,True
1,110,True
1,111,True
1,112,True
1,113,True
1,114,True
1,115,True
1,116,True
1,117,True
1,118,True
1,119,True
1,120,True
1,121,True
1,122,True
1,123,True
1,124,True
1,125,True
1,126,True
1,127,True
1,128,True
1,129,True
1,130,True
1,131,True
1,132,True
1,133,True
1,134,True
1,135,True
1,136,True
1,137,True
1,138,True
1,139,True
1,140,True
1,141,True
1,142,True
1,143,True
1,144,True
1,145,True
1,146,True
1,147,True
1,148,True
1,149,True
1,150,True
